time,_dt,strain_zx_interface,stres_xx_interface,stres_xy_interface,stres_yy_interface,stres_yz_interface,stres_zz_interface,stress_zx_interface
1.265,0.005,-0.0046160891395247,-5.0484167955567,-0.0049335133983964,-5.0269341638804,0.0011217158937934,-5.003833508713,-9.2593154215418
1.27,0.005,-0.0046185796086848,-5.3297073601518,-0.056600459627384,-5.1358605737099,-0.0013240175469633,-4.9958680099836,-8.5834742952575
1.275,0.005,-0.0046188814467019,-5.4038703940947,-0.086422088036474,-5.2132875114726,0.0016290437694475,-5.0043839189215,-6.7958369671061
1.28,0.005,-0.0046184684789319,-5.612869645703,-0.054980625479555,-5.2222249495798,-0.0018358918328837,-4.9954081877014,-4.2590210299131
1.285,0.005,-0.004609849965296,-5.799067838431,0.10598056985922,-5.2277846800408,0.0021476004575178,-5.004697499774,-0.95514655081191
1.29,0.005,-0.0045807632867432,-5.8191038987957,0.13014096885688,-5.1171937750969,-0.0025070207783452,-4.9954268516888,2.456112757079
1.295,0.005,-0.0044815965395185,-5.1754273516049,-0.024174780717946,-4.9694752406844,0.003152428311396,-5.0043130102393,5.640629799962
1.3,0.005,-0.0043182498009667,-5.1956777425214,-0.01808771934244,-5.010413448284,-0.0037882968240069,-4.9962559059217,8.4146179010449
1.305,0.005,-0.0040700748730217,-5.2065403213137,-0.025189607405657,-5.0430945473854,0.0043888256222955,-5.0032178915475,10.971061726738
1.31,0.005,-0.0037295290478396,-5.2007991004112,-0.028413958306692,-5.0418136052453,-0.0049929064335065,-4.9974351379294,12.576522224106
1.315,0.005,-0.0033368657694414,-5.1896611398015,-0.0024031914906421,-5.0535586360854,0.0053779400059396,-5.0021163006858,14.137839628286
1.32,0.005,-0.002929325853051,-5.2456708258099,0.024198319058082,-5.0665576995306,-0.0055018736080351,-4.9980792092855,15.94934144332
1.325,0.005,-0.0023924940867232,-5.1295540038934,0.016828630000933,-5.067217485828,0.0054244753086207,-5.0019072863384,16.664972769793
1.33,0.005,-0.0016931964473839,-5.0801930875231,0.0010384501675018,-5.0487126639464,-0.0053218131941519,-4.9977835790349,15.312486586001
1.335,0.005,-0.0009641615434446,-5.0395600621607,-0.0032604387225408,-5.0350877744246,0.0050159701472493,-5.0026638589828,14.005666807686
1.34,0.005,-0.00026775169256808,-5.0493152252541,-0.0024601831254295,-5.0245180902759,-0.0045392211398729,-4.9966631121863,13.367052410707
1.345,0.005,0.00043032209180767,-5.0478872711574,-0.0041729652795975,-5.0252063939353,0.0038525569620051,-5.0043047509066,13.051841002075
1.35,0.005,0.0010901693530037,-5.0519272605881,0.0013888139849507,-5.0147170770331,-0.0033030401117869,-4.9947538112367,13.310507406935
1.355,0.005,0.0017597037728535,-5.0455708564102,0.0014628864741325,-5.0245343546542,0.0026658704880166,-5.0061635339869,13.614423199148
1.36,0.005,0.0024471983922579,-5.0469993949993,-0.0023916929277197,-5.0134264581675,-0.0019248387206108,-4.9929786302382,13.507505741466
1.365,0.005,0.0031157282297668,-5.0453884797487,-0.0024909674661263,-5.0245793315242,0.0013366882898592,-5.0076988412115,13.638797264595
1.37,0.005,0.0037587202438891,-5.0252573506151,0.0012474087912523,-5.0081351207871,-0.00090524650160109,-4.9919350500521,13.817699274503
1.375,0.005,0.0044013290135063,-5.0575966429563,-0.0016975467602436,-5.0251729141376,0.0017164640668951,-5.0080014008466,13.802939170314
1.38,0.005,0.0049496644146439,-5.0562546034185,-0.0045279653058079,-5.0064720003519,-0.0011837214097614,-4.9924105633141,14.389817290773
1.385,0.005,0.005375161252361,-5.0093771740252,-0.0052217748449159,-5.0218453858448,0.0013707232135841,-5.0071991340342,16.356507949496
1.39,0.005,0.0058124359831749,-5.0592552914013,-0.0035936798616424,-5.0227852161066,-0.0015639276440385,-4.9932738893328,17.56220117221
1.395,0.005,0.006373400459827,-5.0482817143849,-0.0054984739251207,-5.0314124577939,0.0017358464539909,-5.0061340596053,16.204885566727
1.4,0.005,0.0068788780577024,-5.0313552186434,-0.0043374219126926,-5.0141984719686,-0.0025875919391026,-4.9946106535551,14.701805123352
1.405,0.005,0.0072791466371557,-4.9986558994459,0.00035653255750863,-5.0213736838875,0.0028744893858851,-5.0046657652664,14.04371350796
1.41,0.005,0.0076158384498682,-5.1140219538305,0.0036163964770269,-5.0297634625781,-0.0035921832194915,-4.995627832627,13.358033430287
1.415,0.005,0.0077764418881939,-4.9470732983361,-0.021492098260964,-5.0231001085565,0.0040279996618532,-5.004436426033,14.144355422324
1.42,0.005,0.0080302786536843,-5.0735458705184,-0.0031147077039771,-5.0240001892476,-0.0043683662063962,-4.9955533574028,12.525655883797
1.425,0.005,0.0081005154202192,-4.5244456867519,-0.00089385179962125,-4.889672464737,0.0047658829813486,-5.0046233435881,12.391414146677
1.43,0.005,0.0081816636144226,-4.7701076253964,0.017364803634118,-4.9099922258851,-0.00483109025848,-4.9954231511108,10.860841116925
1.435,0.005,0.0081820619952051,-5.7707800309348,0.029644169659905,-5.7036926855427,0.0045864268891719,-5.003772048984,9.2846231857439
1.44,0.005,0.0081819303634312,-6.1970307354054,-0.006860677800531,-5.6715481150067,-0.0047101181651366,-4.996728921385,5.822772832362
