time,_dt,strain_zx_interface,stress_xx_interface,stress_xy_interface,stress_yy_interface,stress_yz_interface,stress_zx_interface,stress_zz_interface
1.11,0.01,0.001464361094982,-5.084403847402,-0.0029732621042647,-5.0424656402845,-8.8555025555449e-05,7.5375117617385,-4.9997020691202
1.12,0.01,0.0014674174291192,-5.2211389132342,0.047231579846007,-5.2103958090368,0.00029953684196802,6.8165682849825,-5.0003698871429
1.13,0.01,0.0014670273248249,-5.1506211245215,0.069981316840632,-5.2585176434059,-0.0001250912362155,4.1340712255841,-4.9996773731245
1.14,0.01,0.0014586091182081,-4.9641558474218,-0.048052819697171,-5.2338786658567,0.00010557664931714,-0.36394552700853,-5.0003530415782
1.15,0.01,0.0013015226636479,-5.1199014587406,0.0017034312637095,-5.0114932288371,-7.2264488486265e-05,-3.7083684108245,-4.9996728837811
1.16,0.01,0.0010616088259236,-5.1772661184829,0.0066342110178078,-5.0046659451497,-4.3948746561638e-05,-7.5392671295991,-5.0003379125267
1.17,0.01,0.00074072696413184,-5.202043527391,0.0028707092424131,-5.0303551240932,9.5839240918195e-05,-11.586132326857,-4.9996628519709
1.18,0.01,0.00023247974354175,-5.1771178202312,0.0021704313380121,-5.0506417089794,-0.00018836944102573,-14.213333165728,-5.0003829427628
1.19,0.01,-0.00041866936642416,-5.1327315074804,0.0018616301578864,-5.047008564182,0.00027310653130407,-15.40497823545,-4.9997362496468
1.2,0.01,-0.0010977218884449,-5.1460458623166,0.00070878309993976,-5.0545327077733,-0.00036902561749588,-16.627091045135,-5.0002960560628
1.21,0.01,-0.0017452630844349,-5.1638875316063,-0.00019442642971353,-5.0595225502499,0.00048073207427017,-18.052218508143,-4.9997670529743
1.22,0.01,-0.0023247516443431,-5.2290282186098,-0.00052518991514358,-5.0780108455639,-0.00058661545974392,-19.884166525566,-5.0001608887651
1.23,0.01,-0.0028607638017425,-5.2334850998185,0.0035466444038336,-5.0921821938376,0.0006753037687053,-21.083641681243,-4.9998734296187
1.24,0.01,-0.0034343678905484,-5.1447361651309,0.0034249817023126,-5.0894696584596,-0.00078411218433566,-20.264502742099,-5.0000027398859
1.25,0.01,-0.0040257585464936,-5.0235050744561,0.00074915852140729,-5.059936383774,0.00085188116660675,-16.987639104734,-5.0001106246263
1.26,0.01,-0.0043523606755664,-5.0835146575514,-0.002962862503628,-5.0570948115144,-0.00092255785084449,-14.99448732137,-4.9996584254281
1.27,0.01,-0.0045116013169635,-5.031505818208,-0.008550152949682,-5.0898842800055,0.00098598669462544,-12.659214743011,-5.0005462699712
1.28,0.01,-0.0045452500289613,-6.2668599679625,-0.067455845404939,-5.358088936476,-0.0010160836663393,-8.8602961415146,-4.9992262875819
1.29,0.01,-0.0045364988351562,-7.7918438677009,-0.026825565138196,-6.2701503311103,0.0010253000702999,-1.7702950606257,-5.0009398718005
1.3,0.01,-0.0044583505458017,-6.9174811538431,-0.059475270505293,-5.5746162810042,-0.001097560012305,6.3701824351105,-4.9986389957553
1.31,0.01,-0.0042711837260612,-5.8793637761303,-0.014362202118431,-4.9634720940612,0.0012184066372387,15.920698092416,-5.0016199669633
1.32,0.01,-0.0038677199049502,-5.8007104657005,-0.0073708832408812,-5.1118158268261,-0.0014609135818848,24.566380928337,-4.9980546247816
1.33,0.01,-0.0030108766315922,-5.4613021772894,-0.013477281580603,-5.1484950968397,0.0012138042644548,29.025654099873,-5.0019921569124
1.34,0.01,-0.001821961826168,-5.2873706533409,-0.003941225268523,-5.1235250344819,-0.0013469615252599,29.913488241515,-4.9977366182422
1.35,0.01,-0.00049358439077519,-5.2230121323633,0.002356214676266,-5.1165541506546,0.0012858334549836,29.952243228064,-5.0021951945369
1.36,0.01,0.00078314948651725,-5.2477690090296,0.0023775132775194,-5.1059592008154,-0.0013609339784162,30.663712198673,-4.9976943169147
1.37,0.01,0.0019332242644035,-5.3280997090411,-0.0014438211172724,-5.1281407219295,0.0014102379083717,33.057658869652,-5.00224851557
1.38,0.01,0.003029232939302,-5.3571815487823,-0.014178504386334,-5.1472186393872,-0.0015586752065836,34.714274598639,-4.997594692349
1.39,0.01,0.0042992704634411,-5.1530357600079,-0.0070538943227894,-5.1338089772096,0.0015570763444228,32.224480608554,-5.0025253965779
1.4,0.01,0.0057074393030765,-4.952263202027,0.00046693151375922,-5.0646125009682,-0.0016241590360469,24.559673399134,-4.9973736353901
1.41,0.01,0.0065571915015967,-5.0931898977214,0.019146437240846,-5.0472573426054,0.0014862227121857,21.731150544102,-5.0025670352036
1.42,0.01,0.0071183168117168,-5.1346391822668,-0.0018845129564727,-5.0806128828089,-0.00142681453777,19.013710753399,-4.9978399493219
1.43,0.01,0.0074402868734277,-5.2397883170732,0.00069091750013399,-5.0678676763548,0.0014328107060968,15.636514761875,-5.0019089332552
1.44,0.01,0.0074404442444365,-7.7439874129445,-0.051443142358112,-6.6020382297977,-0.001361395011316,11.155918261787,-4.998510027716
1.45,0.01,0.007417678618657,-8.4930046519979,0.0066715982466081,-6.5605059312163,0.0013670348156789,2.4225371784724,-5.0011612559509
1.46,0.01,0.007280498094316,-6.7055460580229,0.059487772902068,-5.5355889818154,-0.0010073993972086,-8.6947810231148,-4.999237026726
1.47,0.01,0.0070580077704101,-7.4076376214829,-0.031570164716787,-5.4020108978646,0.0012936904558106,-22.847618167949,-5.0001043091214
1.48,0.01,0.0062608276021604,-6.1230085268555,-0.0046287637704064,-5.2482412564671,-0.0011294976906149,-32.25502057013,-5.0000228817663
1.49,0.01,0.0049981300109928,-5.8226525589023,-0.0045578054248308,-5.2521351549295,0.00090895300792736,-37.935895147997,-4.9994390111348
1.5,0.01,0.0034197344769983,-5.6392044564133,-0.00066652077289082,-5.2321911001048,-0.00082288731812537,-41.567717969902,-5.0008921102927
1.51,0.01,0.0017565835463131,-5.663740859316,-0.0055971081953288,-5.2513281599865,0.00070096953359616,-45.344689647197,-4.998421526602
1.52,0.01,1.5285791736969e-05,-5.6709801523211,-0.009420503165721,-5.2637374113863,-0.00049248349621079,-48.815487395935,-5.0019382433146
1.53,0.01,-0.0017195473654706,-5.6971978487377,-0.0024845448587208,-5.2781584186013,0.0011020658865852,-51.686331914745,-4.9974201401525
1.54,0.01,-0.0036838542391038,-5.3663320843958,0.015688368282448,-5.2413265682224,-0.0004002859426159,-50.014381299156,-5.0028080812706
1.55,0.01,-0.0058878918796393,-5.0516257960016,0.008036632636416,-5.148673238455,0.00024371646518175,-42.032661037711,-4.9969900695266
1.56,0.01,-0.0077168058175558,-5.0723617556662,-0.0012784909976453,-5.1057380537839,-0.00014541097511573,-35.537114816511,-5.0030197279136
1.57,0.01,-0.0091845250177549,-5.1206898699768,-0.018081647168312,-5.0968647004301,-0.00044619322046191,-30.020916948228,-4.9968912388183
1.58,0.01,-0.010317975466003,-5.1342196234049,-0.0067905934268429,-5.0776805573276,0.00048088247105146,-24.349584221545,-5.0031339491071
1.59,0.01,-0.010687118562131,-5.7384319390518,0.029390382963707,-5.1986974730791,-0.00064313826662003,-23.505059958253,-4.996688845833
1.6,0.01,-0.010702705301715,-7.1159173005393,-0.045419897320919,-7.2695127722768,0.00073449446904321,-21.401249733239,-5.0036019259962
1.61,0.01,-0.010708546533676,-6.6733729331022,-0.25978181310026,-6.8576763469609,-0.00095259850146991,-12.127844785882,-4.9956286797435
1.62,0.01,-0.010626897778781,-7.4586125271666,-0.066462940536864,-6.3935998333671,0.0012264773869307,1.8638979802254,-5.0042419990837
1.63,0.01,-0.010317859729277,-5.4045852866211,-0.059393982054439,-5.0949732559229,-0.0010800511184283,17.33031893766,-4.9955481985588
1.64,0.01,-0.0098935414335568,-7.5007818855015,0.0061605884238334,-5.4418174785527,0.0012902775579948,36.883478923759,-5.005025836129
1.65,0.01,-0.0086406090816452,-6.3417484372679,-0.0042237026268251,-5.3293288194663,-0.001429423154442,48.84031672489,-4.9946968551915
1.66,0.01,-0.0066515883548319,-5.7508613599207,-0.0048671372504978,-5.2844529300687,0.0014084968270839,53.784290118731,-5.0059063460573
1.67,0.01,-0.0043193107524035,-5.6023966359931,-0.0087068283788007,-5.2641266591726,-0.0013178675354799,55.894156778271,-4.9934759364643
1.68,0.01,-0.001774774806831,-5.4796245839754,0.0018849618851654,-5.2478950331576,0.0011595386041141,56.740176792609,-5.0066264931663
1.69,0.01,0.00070313020419326,-5.4957939023766,0.0065096368960059,-5.2310304216351,-0.00083732121920331,58.034968777069,-4.9928669126783
1.7,0.01,0.0029970729043521,-5.6170542962907,-0.0031468735265238,-5.264088796371,0.00067601594062625,60.799603328925,-5.007255331629
1.71,0.01,0.0053303125304065,-5.4514716258501,-0.0067108199925656,-5.2517892655096,-0.00057824080393207,60.239912854126,-4.9927014385457
1.72,0.01,0.0079383053547115,-5.162191358755,0.00098626401134587,-5.1955582620596,-4.4895770704726e-05,51.64911324132,-5.0074266261498
1.73,0.01,0.010499240727841,-4.9544994991117,-0.0018956224979949,-5.0929233469344,0.00032672094537841,38.101608653478,-4.9924743320979
1.74,0.01,0.012093574124678,-5.158845871212,-0.0015500137297801,-5.0736772617046,-0.00063283633201516,32.405123290391,-5.0073153814384
